"Logo","Name","Sector","Year Founded","Label Date","Website","Summary","Founders","Email","Phone"
"undefined","BIESSA AUTO","Commerce and shopping","2019","12/2021","","Biessa Auto est une plateforme market place de vente en ligne de pièces de rechange autos dotée de trois moteurs de recherches.","Sahli SoniaAhmed Sahli","n.a.","n.a."
"undefined","profils.tn","Business Software and services","2019","12/2019","","Profils.tn is an innovative HR platform that replaces the traditional CV reading with an algorithmic understanding via the 'Matching' tool. The platform allows to digitalize the recruitment process and to boost the employer brand.","Anis Maghar                              Imen Maghar","n.a.","n.a."
"undefined","eDream Commerce","Commerce and shopping","2017","09/2019","","Edream is an e-commerce platform that allows you to sell our products to your network and earn commissions on each online sale.","Kacem GhozziNebyl Ben AttiaAnes SammariMehdi El Ayadi","n.a.","n.a."
"undefined","Bouita","TravelTech","2020","07/2020","","Bouita is a ""Travel Marketplace"" that connects hosts offering travel-related services with travelers looking to discover and book them.","Amir MatallaouiNadjib Mammeri","n.a.","n.a."
"undefined","Makroudh Kairouan à Domicile","Commerce and shopping","2019","04/2020","","Sales and distribution solution for Kairouanese Makroudh in Tunisia and worldwide","Mohamed Wajih Allani","n.a.","n.a."
"undefined","Intigrow","Mobility","2019","11/2019","","Intigrow is a digital platform offering mobility, logistics and m-payment services","Bassem Bouguerra","n.a.","n.a."
"undefined","TechAbility","Consumer products and services","2019","05/2019","","TechAbility offers an artificial intelligence-based energy monitoring solution that will allow customers to save money on their electricity bills.","Dorra KammounOussama Romdhane","n.a.","n.a."
"undefined","Videsys","Ad Tech and Creative Tech","2019","09/2019","","Videsys is a video content distribution platform with dynamic video advertising.","Abdelaziz KtariWalid Messaoudia","n.a.","n.a."
"undefined","Tunrooms/SV Tech SARL","TravelTech","2019","05/2019","","Tunrooms is a platform for renting furnished accommodation for short or long term, adapted to all types of stays and with online payment.","Mohamed Ali LafifChokri Oueslati","n.a.","n.a."
"undefined","EZZAYRA SOLUTIONS","Agritech","2015","04/2019","","Development and integration of technological products for agriculture. Software, Hardware and Robotics.","Yasser Bououd","n.a.","n.a."
"undefined","Next Gen Corp","HealthTech","2013","04/2019","","NextGenCorp is specialized in the development of edutainment and therapeutic mobile applications for children with learning disabilities.","Moez LachnedAhmed Nabli","n.a.","n.a."
"undefined","Exacctly","Business Software and services","2020","06/2020","","DataSphera develops NLP and enterprise AI products and solutions for real-time analysis of conversations exchanged with customers.","Noureddine LoukiAchref Kechaou","n.a.","n.a."
"undefined","FACTOORYA","Environment","2020","09/2020","","FACTOORYA develops an IoT solution ensuring a digital energy and environmental transition, enabling industries to monitor energy consumption and waste emissions in order to ensure the effectiveness of international energy and environmental management standards ISO 50001 and ISO 14001.","Amine RekhisYassine KhlassMohamed Seifedinne Bouarada","n.a.","n.a."
"undefined","Allô Réparateur","Commerce and shopping","2020","07/2020","","Allo Réparateur is specialized in the repair of all types of domestic and industrial electronic devices with a network of laboratories throughout Tunisia.","Aymen BouchouchaMohamed Saïd El Behi","n.a.","n.a."
"undefined","SESIT","Agritech","2020","04/2020","","Sesite combines hardware and software development and production of technological solutions for connected and automated agriculture in an intelligent way.","Nasreddine SomaaliMarwa Khnissi","n.a.","n.a."
